Method,Payoff,S0,E,r,sigma,T,N,M,Parallel,T_overall,T_calculation,Result,Error
MPI,put,100,90,0.02,0.75,1,1000000,0,100,0.954235493,0.013849797,21.98923887,0.003329585848
MPI,put,100,90,0.02,0.75,1,2000000,0,1,0.324636649,0.203839716,22.00538602,0.01947674426
MPI,put,100,90,0.02,0.75,1,2000000,0,5,0.182795947,0.041882233,21.97288279,-0.01302648528
MPI,put,100,90,0.02,0.75,1,2000000,0,10,0.195856781,0.029777373,21.98631899,0.0004097126952
MPI,put,100,90,0.02,0.75,1,2000000,0,25,0.245590137,0.013324396,22.00587743,0.01996814569
MPI,put,100,90,0.02,0.75,1,2000000,0,50,0.447638162,0.021611109,22.00870954,0.02280026451
MPI,put,100,90,0.02,0.75,1,2000000,0,100,0.84464722,0.020686629,21.9709255,-0.01498377829
MPI,put,100,90,0.02,0.75,1,5000000,0,1,0.613985878,0.486682042,21.98115107,-0.004758214932
MPI,put,100,90,0.02,0.75,1,5000000,0,5,0.247728583,0.107155395,21.96977332,-0.01613595553
MPI,put,100,90,0.02,0.75,1,5000000,0,10,0.229503152,0.073835083,21.96384018,-0.02206910374
MPI,put,100,90,0.02,0.75,1,5000000,0,25,0.244969119,0.030009849,21.98012711,-0.005782171228
MPI,put,100,90,0.02,0.75,1,5000000,0,50,0.454592164,0.043929783,21.99349021,0.007580928613
MPI,put,100,90,0.02,0.75,1,5000000,0,100,1.034769496,0.046896573,21.98211623,-0.003793053262
MPI,put,100,90,0.02,0.75,1,7500000,0,1,0.909495164,0.78986461,21.99239447,0.006485186958
MPI,put,100,90,0.02,0.75,1,7500000,0,5,0.309653512,0.173204278,21.98538835,-0.0005209261928
MPI,put,100,90,0.02,0.75,1,7500000,0,10,0.274673847,0.107762343,21.98241146,-0.00349781635
MPI,put,100,90,0.02,0.75,1,7500000,0,25,0.280472162,0.044515401,21.98815472,0.002245441745
MPI,put,100,90,0.02,0.75,1,7500000,0,50,0.480264099,0.05269751,21.98215556,-0.003753721858
MPI,put,100,90,0.02,0.75,1,7500000,0,100,0.922495726,0.043117054,21.98603802,0.0001287447017
MPI,put,100,90,0.02,0.75,1,10000000,0,1,1.195176725,1.074313335,21.98798441,0.002075134886
MPI,put,100,90,0.02,0.75,1,10000000,0,5,0.368651792,0.231109164,21.97557795,-0.01033133068
MPI,put,100,90,0.02,0.75,1,10000000,0,10,0.297760661,0.144262602,21.98855503,0.002645751923
